###################################################
# Type        time       iteration         rpmax   
#   s           d            l               d     
###################################################
        DD       1.4221            1      5.000
        DD       1.0841            2      5.000
        DD       1.0810            3      5.000
        DD       1.0755            4      5.000
        DD       1.0821            5      5.000
        DD       1.0845            6      5.000
        DD       1.3474            7      5.000
        DD       1.1387            8      5.000
        DD       1.0843            9      5.000
        DD       1.0909           10      5.000
        DD       1.0929            1     10.000
        DD       1.0932            2     10.000
        DD       1.5304            3     10.000
        DD       1.5793            4     10.000
        DD       1.3644            5     10.000
        DD       1.0903            6     10.000
        DD       1.0941            7     10.000
        DD       1.0949            8     10.000
        DD       1.0997            9     10.000
        DD       1.0957           10     10.000
        DD       1.0138            1     15.000
        DD       1.0285            2     15.000
        DD       0.9850            3     15.000
        DD       0.9848            4     15.000
        DD       0.9838            5     15.000
        DD       0.9860            6     15.000
        DD       0.9818            7     15.000
        DD       0.9822            8     15.000
        DD       0.9860            9     15.000
        DD       0.9853           10     15.000
        DD       0.8978            1     20.000
        DD       0.8937            2     20.000
        DD       0.8980            3     20.000
        DD       0.8954            4     20.000
        DD       0.8961            5     20.000
        DD       0.8985            6     20.000
        DD       0.8976            7     20.000
        DD       0.8989            8     20.000
        DD       0.8970            9     20.000
        DD       0.8995           10     20.000
        DD       0.6861            1     25.000
        DD       1.0025            2     25.000
        DD       0.6893            3     25.000
        DD       0.6877            4     25.000
        DD       0.6878            5     25.000
        DD       0.6876            6     25.000
        DD       0.6872            7     25.000
        DD       0.6874            8     25.000
        DD       0.6867            9     25.000
        DD       0.6911           10     25.000
        DD       1.0050            1     30.000
        DD       1.0125            2     30.000
        DD       1.0032            3     30.000
        DD       1.1408            4     30.000
        DD       1.0727            5     30.000
        DD       0.6895            6     30.000
        DD       0.6901            7     30.000
        DD       0.6899            8     30.000
        DD       0.6889            9     30.000
        DD       0.6898           10     30.000
        DD       0.7689            1     35.000
        DD       1.0281            2     35.000
        DD       0.7119            3     35.000
        DD       0.7121            4     35.000
        DD       0.7116            5     35.000
        DD       0.7121            6     35.000
        DD       0.7111            7     35.000
        DD       0.7124            8     35.000
        DD       0.7130            9     35.000
        DD       0.7129           10     35.000
        DD       0.7827            1     40.000
        DD       1.0724            2     40.000
        DD       0.7530            3     40.000
        DD       0.7541            4     40.000
        DD       0.7528            5     40.000
        DD       0.7537            6     40.000
        DD       0.7529            7     40.000
        DD       0.7534            8     40.000
        DD       0.7531            9     40.000
        DD       0.7541           10     40.000
        DD       1.1710            1     45.000
        DD       0.8524            2     45.000
        DD       0.8509            3     45.000
        DD       0.8520            4     45.000
        DD       0.8509            5     45.000
        DD       0.8522            6     45.000
        DD       0.8521            7     45.000
        DD       0.8531            8     45.000
        DD       0.8516            9     45.000
        DD       0.8524           10     45.000
        DD       1.3298            1     50.000
        DD       1.0117            2     50.000
        DD       1.0104            3     50.000
        DD       1.0113            4     50.000
        DD       1.0115            5     50.000
        DD       1.0117            6     50.000
        DD       1.0108            7     50.000
        DD       1.0124            8     50.000
        DD       1.0121            9     50.000
        DD       1.0108           10     50.000
        DD       1.5278            1     55.000
        DD       1.5265            2     55.000
        DD       1.2092            3     55.000
        DD       1.2090            4     55.000
        DD       1.2082            5     55.000
        DD       1.2090            6     55.000
        DD       1.2086            7     55.000
        DD       1.2082            8     55.000
        DD       1.2092            9     55.000
        DD       1.7107           10     55.000
        DD       1.7486            1     60.000
        DD       1.7106            2     60.000
        DD       1.3940            3     60.000
        DD       1.3925            4     60.000
        DD       1.3919            5     60.000
        DD       1.3914            6     60.000
        DD       1.3925            7     60.000
        DD       1.3909            8     60.000
        DD       1.3934            9     60.000
        DD       1.3941           10     60.000
        DD       1.7104            1     65.000
        DD       2.0304            2     65.000
        DD       1.7098            3     65.000
        DD       1.7179            4     65.000
        DD       1.7129            5     65.000
        DD       1.7125            6     65.000
        DD       1.7107            7     65.000
        DD       1.7124            8     65.000
        DD       1.7133            9     65.000
        DD       1.7120           10     65.000
        DD       2.0117            1     70.000
        DD       2.0186            2     70.000
        DD       2.0108            3     70.000
        DD       2.0131            4     70.000
        DD       2.0169            5     70.000
        DD       2.0136            6     70.000
        DD       2.0175            7     70.000
        DD       2.0193            8     70.000
        DD       2.0125            9     70.000
        DD       2.0909           10     70.000
        DD       2.4466            1     75.000
        DD       2.7665            2     75.000
        DD       2.4528            3     75.000
        DD       2.4474            4     75.000
        DD       2.7673            5     75.000
        DD       2.5052            6     75.000
        DD       2.4445            7     75.000
        DD       2.4753            8     75.000
        DD       2.4440            9     75.000
        DD       2.4603           10     75.000
        DD       2.9423            1     80.000
        DD       2.9768            2     80.000
        DD       2.9305            3     80.000
        DD       2.9332            4     80.000
        DD       2.9322            5     80.000
        DD       2.9332            6     80.000
        DD       2.9300            7     80.000
        DD       2.9327            8     80.000
        DD       2.9306            9     80.000
        DD       2.9336           10     80.000
        DD       3.6659            1     85.000
        DD       3.3471            2     85.000
        DD       3.3495            3     85.000
        DD       3.3508            4     85.000
        DD       3.3481            5     85.000
        DD       3.3974            6     85.000
        DD       3.6655            7     85.000
        DD       3.3527            8     85.000
        DD       3.6667            9     85.000
        DD       3.3491           10     85.000
        DD       3.9838            1     90.000
